,repo,topics
299,keon/algorithms,"Data Structures and Algorithms,Python Examples,Minimal Implementations"
300,doocs/leetcode,"LeetCode solutions,Multiple programming languages,《Sword Points to Offer (2nd Edition)》,《Programmer Interview Gold Content (6th Edition)》"
301,novuhq/novu,"open-source notification infrastructure,embedded notification center,fully functional notifications"
302,zloirock/core-js,"Introduction to the Python Standard Library,File and Directory Operations,Data Manipulation and Storage,Internet and Network Protocols,Data Compression and Archiving,Data Formats and Processing,Multimedia Handling,Utilities,Developer Tools and Debugging,Operating System Interface"
303,marmelab/react-admin,"Frontend Framework,B2B Applications,Browser-based,REST/GraphQL APIs,ES6,React,Material Design"
304,expo/expo,"open-source platform,universal native apps,React,Expo,Android,iOS,web"
305,directus/directus,"Modern Data Stack,Directus,REST+GraphQL API,No-Code Data Collaboration App,SQL Database"
306,yeasy/docker_practice,"Docker,Container technologies,DevOps practice"
307,penpot/penpot,"Open-Source design,Prototyping platform"
308,python-telegram-bot/python-telegram-bot,"Wrapper,Offer,Refusal"
309,react-navigation/react-navigation,"Routing and navigation,React Native apps,Navigation libraries,Stack navigation,Tab navigation,Drawer navigation,Custom navigation,Navigation options,URL handling"
310,freqtrade/freqtrade,"Crypto trading,Open source,Trading bot"
311,balderdashy/sails,"Realtime MVC Framework,Node.js,Web Development,Software Architecture,WebSockets,Single-Page Applications"
312,envoyproxy/envoy,"Cloud-native,High-performance,Edge proxy,Middle proxy,Service proxy"
313,mislav/hub,"Command-line tool,Git,GitHub"
314,hwdsl2/setup-ipsec-vpn,"IPsec VPN server,IPsec/L2TP,Cisco IPsec,IKEv2"
315,ogham/exa,modern replacement for 'ls' command
316,facebookarchive/draft-js,"React framework,Building text editors"
317,fouber/blog,"Writing articles as a hobby,Requesting to star, watch, and not fork the repository"
318,vercel/turbo,"Incremental bundler,Build system,JavaScript,TypeScript,Rust,Turbopack,Turborepo"
319,sdras/awesome-actions,"GitHub,Actions,Curated List,Awesome Features"
320,openssl/openssl,"TLS/SSL,Crypto Library"
321,emberjs/ember.js,"Ember.js,JavaScript framework,Creating web applications"
322,google/gson,"Java serialization,Java deserialization,JSON conversion,Java Object handling"
323,ossrs/srs,"SRS,video server,RTMP,WebRTC,HLS,HTTP-FLV,SRT,MPEG-DASH,GB28181"
324,aseprite/aseprite,"Animated sprite editor,Pixel art tool,Software compatibility: Windows, macOS, Linux"
325,bilibili/flv.js,"HTML5,FLV Player,Video playback,Browser compatibility,Flash-based content,Web standards,HTML5 video element"
326,zadam/trilium,"Personal Knowledge Base,Trilium Notes,Note-Taking,Productivity,Organization,Knowledge Management"
327,withfig/autocomplete,IDE-style autocomplete for existing terminal & shell
328,markerikson/react-redux-links,"React,Redux,ES6"
329,t4t5/sweetalert,"JavaScript alert replacement,SweetAlert features,Usage and customization,Browser compatibility,SweetAlert popularity and alternatives"
330,firecracker-microvm/firecracker,"Secure microVMs,Fast microVMs,Serverless computing"
331,apache/skywalking,"Application Performance Monitoring (APM),System Performance,Monitoring Tools,Performance Optimization,Software Metrics"
332,homebridge/homebridge,"HomeKit support,Impatience"
333,usablica/intro.js,"Onboarding tour library,Lightweight,User-friendly"
334,celery/celery,"Distributed Task Queue,Development Branch"
335,libuv/libuv,Cross-platform asynchronous I/O
336,kriasoft/react-starter-kit,"Jamstack,front-end template,boilerplate,web applications,React"
337,harvesthq/chosen,"Deprecated,Chosen,Library,Select Boxes"
338,conwnet/github1s,"GitHub,VS Code,Code Reading Speed"
339,goldbergyoni/javascript-testing-best-practices,"JavaScript testing best practices,Node.js testing strategies,Comprehensive and exhaustive testing approaches"
340,derailed/k9s,"Kubernetes CLI,Cluster Management,Productivity Enhancement,Stylish Interface"
341,fish-shell/fish-shell,User-friendly command line shell
342,elixir-lang/elixir,"Dynamic Programming Languages,Functional Programming Languages,Application Scalability,Maintainability"
343,mochajs/mocha,"JavaScript test framework,Node.js,Browser compatibility"
344,ggerganov/whisper.cpp,"Port of OpenAI's Whisper model,C/C++ language implementation"
345,zyedidia/micro,"Terminal-based text editor,Modern and intuitive design,Productivity and efficiency features"
346,milvus-io/milvus,"cloud-native vector database,storage for next-generation AI applications"
347,locustio/locust,"Writing load tests in Python,Scalability of load tests"
348,calcom/cal.com,"Scheduling infrastructure,Inclusivity,Accessibility,Efficiency,User-friendliness"
349,ipfs/ipfs,Peer-to-peer hypermedia protocol
350,chubin/wttr.in,"Weather,Weather Forecasting,Weather Apps,Weather Accuracy"
351,surrealdb/surrealdb,"Scalability,Distributed Systems,Collaboration,Document-Graph Database,Realtime Web"
352,highlightjs/highlight.js,"JavaScript syntax highlighting,Language auto-detection,Zero dependencies"
353,react-bootstrap/react-bootstrap,"Bootstrap,React,Components,UI Framework,Web Development"
354,iawia002/lux,"Video download library,CLI tool,Written in Go programming language"
355,tailwindlabs/headlessui,"unstyled UI components,accessibility,integration with Tailwind CSS"
356,felixrieseberg/windows95,"Windows 95,Electron,macOS,Linux,Windows"
357,google/iosched,"Google I/O Android App,Features and Functionality,Session Reminders and Notifications,I/O Adventure Game,Accessibility and Material Design,Performance and Optimization"
358,facebook/flow,"Static Typing,JavaScript,Developer Productivity,Code Quality"
359,dapr/dapr,"Dapr,portable,event-driven,runtime,distributed applications,cloud,edge"
360,vuejs/vuepress,📝 Minimalistic Vue-powered static site generator
361,youzan/vant,"Vue UI library,Mobile web apps,Customization,Lightweight"
362,jaredhanson/passport,Node.js authentication
363,electron-react-boilerplate/electron-react-boilerplate,"Cross-Platform Apps,Scalability,Foundation,Development Strategies,User Experience Design,Performance Optimization,Consistent Codebase,Reusable Components,Efficiency,Maintenance"
364,tsenart/vegeta,"HTTP load testing,tools,libraries"
365,tokio-rs/tokio,"Rust programming language,Asynchronous applications,Reliability,I/O handling,Networking functionality,Scheduling tasks,Timers and timing-related features"
366,microsoft/api-guidelines,"REST API Guidelines,API Design,HTTP Protocols,Query Parameters,Response Formats,Error Responses,Authentication,Versioning,Documentation"
367,jlmakes/scrollreveal,Animate elements as they scroll into view
368,trekhleb/homemade-machine-learning,"Python,Machine Learning Algorithms,Jupyter Demos,Math Explanation"
369,bevacqua/dragula,"Drag and drop interface,Usability and simplicity"
370,requarks/wiki,"Wiki.js,Node.js"
371,bitcoinbook/bitcoinbook,"Bitcoin and its foundations,Bitcoin wallets and transactions,Peer-to-peer networking,Blockchain mechanics and mining,Security and cryptographic principles,Bitcoin applications and smart contracts,Regulation, governance, and compliance,Advanced topics and future developments"
372,wsargent/docker-cheat-sheet,"Docker Basics,Images and Containers,Container Management,Networking,Volumes,Dockerfile and Build Process,Compose and Swarm,Security and Access Control,Performance and Troubleshooting"
373,redisson/redisson,"Redisson Java client,In-Memory Data Grid,Sync/Async/RxJava/Reactive API support,Over 50 Redis-based Java objects and services,Data structures: Set, Multimap, SortedSet, Map, List, Queue, Deque,Distributed primitives: Semaphore, Lock, AtomicLong,Advanced features: Map Reduce, Bloom filter,Integrations: Spring Cache, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache"
374,refined-github/refined-github,"Browser extension,GitHub interface simplification,Added useful features"
375,kuchin/awesome-cto,"Resources for Chief Technology Officers,Emphasis on Startups,Curated and Opinionated List"
376,v8/v8,"V8,Git,Repository,Mirror"
377,chenglou/react-motion,"Animation,Spring,Problem-Solving"
378,robertdavidgraham/masscan,"TCP port scanner,SYN packet spraying,High-speed Internet scanning"
379,ai/nanoid,"String ID generator,JavaScript,URL-friendly,Secure,Tiny size (130 bytes)"
380,flameshot-org/flameshot,"Screenshot software,Ease of use,Powerful features"
381,spacedriveapp/spacedrive,"Spacedrive,open source,cross-platform,file explorer,virtual distributed filesystem,Rust programming language"
382,changkun/modern-cpp-tutorial,"Modern C++,C++11,C++14,C++17,C++20"
383,lensapp/lens,"Kubernetes,Lens,World Operations"
384,leereilly/games,"video games,add-ons,maps,GitHub,game development,open-source games"
385,pugjs/pug,"Pug template engine,Node.js integration,Robust and elegant features"
386,llvm/llvm-project,"LLVM Project,Compiler Technologies,Toolchain Technologies,Patches and Contributions"
387,bazelbuild/bazel,"fast build system,scalable build system,multi-language support,extensible build system"
388,tornadoweb/tornado,"Python web framework,Asynchronous networking library,FriendFeed"
389,postcss/autoprefixer,"CSS parsing,Vendor prefixes,Can I Use website and data,Automating prefix application"
390,grafana/k6,"load testing tool,Go programming language,JavaScript programming language"
391,go-kratos/kratos,"Go microservices framework,cloud-native era"
392,fyne-io/fyne,"Cross-platform GUI toolkit,Go programming language,Material Design inspiration"
393,gradio-app/gradio,"Machine Learning,App Development,Python Programming"
394,google/flatbuffers,"FlatBuffers,Memory Efficient Serialization,Schema Design,Performance,Usage and Integration,Language Support,Use Cases"
395,restic/restic,"Backup program,Speed,Security,Efficiency"
396,js-cookie/js-cookie,"JavaScript API,Browser Cookies,Lightweight"
397,element-plus/element-plus,"Vue.js 3 UI Library,Element team"
398,git-tips/tips,"Git tips and tricks,Git commands,Branch management,Stashing changes,Undoing changes,Collaborative workflows,Gitignore,Git aliases"
399,go-delve/delve,"Delve,Debugger,Go Programming Language"
400,lensterxyz/lenster,"decentralized social media,permissionless social media,Lens Protocol"
401,mantinedev/mantine,"React components library,Fully featured"
402,winstonjs/winston,"Logging,Versatility,Comprehensiveness"
403,dragonflydb/dragonfly,Modern replacement for Redis and Memcached
404,recharts/recharts,"Chart library,React,D3 (Data-Driven Documents)"
405,necolas/react-native-web,Cross-platform React UI packages
406,ueberdosis/tiptap,"Headless editor framework,Web artisans"
407,jhipster/generator-jhipster,"JHipster,Development Platform,Web Applications,Microservices,Modern Development,Deployment"
408,pytorch/examples,"PyTorch,Vision Tasks,Text Processing,Reinforcement Learning"
409,facebook/zstd,"Zstandard,Compression Algorithm,Real-time Compression"
410,go-micro/go-micro,Go microservices framework
411,forem/forem,"Community empowerment,Sustainable development,Social impact,Collaboration,Knowledge sharing"
412,badges/shields,"Concise badges,Consistent badges,Legible badges,SVG format,Raster format"
413,microsoft/winget-cli,"Windows Package Manager,WinGet,CLI (Command Line Interface),PowerShell modules,COM (Component Object Model),API (Application Programming Interface)"
414,ethereum/solidity,"Solidity and Smart Contracts,Features and Capabilities of Solidity,Security Considerations,Compiler and Versions,Use Cases and Applications,Alternative Languages,Future Developments and Improvements"
415,benweet/stackedit,"In-browser Markdown editor,Markdown syntax highlighting,Preview functionality,Ease of use and accessibility,Collaboration and sharing features,Integration with other tools,Security and privacy considerations"
416,osquery/osquery,"SQL powered operating system,instrumentation,monitoring,analytics"
417,ruby/ruby,"Introduction to Ruby,Variables and Data Types,Operators and Assignments,Control Flow and Loops,Methods and Functions,Objects and Object-Oriented Programming,Modules and Classes,Exceptions and Error Handling,File I/O and System Interactions,Regular Expressions and Text Processing,Ruby Gems and Community"
418,philc/vimium,"Hacker's Browser,Privacy,Security,Web Development,Open-Source Software,Customizability,Anonymity,Online Freedom"
419,chalk/chalk,"Terminal string styling,ANSI escape codes,Cross-platform compatibility,Node.js integration,Chalk library,Color support,Dynamic output,Customizable styles,Ease of use,Performance considerations"
420,urfave/cli,"Building command line apps,Go programming language,Simplicity and speed,Fun and enjoyment"
421,responsively-org/responsively-app,"Modified web browser,Responsive web development,Web developer tools"
422,goharbor/harbor,"open source,cloud native,registry project,content storage,content signing,content scanning"
423,apache/mxnet,"Distributed Deep Learning,Mobile Deep Learning,Dynamic Dataflow Scheduling,Mutation-aware Scheduling,Python Deep Learning,R Deep Learning,Julia Deep Learning,Scala Deep Learning,Go Deep Learning,JavaScript Deep Learning"
424,avajs/ava,"Node.js,Test runner,Development confidence"
425,filebrowser/filebrowser,"Web File Browser,User Interface,File Management,Security Considerations,Integration with Cloud Storage,Performance Optimization,Collaborative Features,Version Control,Data Synchronization,Customizability and Extensibility,Mobile Accessibility"
426,livewire/livewire,"Full-stack framework,Laravel,Dynamic UIs"
427,stretchr/testify,"Assertions,Mocks,Standard Library Integration"
428,futurice/android-best-practices,"Android Development,Do's and Don'ts,Futurice Developers' Recommendations"
429,petkaantonov/bluebird,"Bluebird,Promise Library,Performance"
430,iced-rs/iced,"cross-platform GUI library,Rust programming language,Elm programming language inspiration"
431,hapijs/joi,"Data validation,JavaScript,Library"
432,outline/outline,"Knowledge base software,Real-time collaboration,Feature richness,Markdown compatibility"
433,jitsi/jitsi-meet,"Jitsi Meet,Secure Video Conferences,Simple and Scalable Video Conferences,Standalone App,Embeddable in Web Applications"
434,websockets/ws,"WebSocket client,WebSocket server,Node.js,Speed,Ease of use,Thorough testing"
435,typst/typst,"typesetting,markup-based systems,ease of use,power and functionality"
436,checkcheckzz/system-design-interview,"System design interviews,IT companies,System design fundamentals,Data handling and storage,Network design and security,Scalability and performance optimization,Security and authentication,System reliability and fault tolerance,Project management and collaboration,Real-world system design scenarios"
437,verekia/js-stack-from-scratch,"Building a Modern JavaScript Stack,Step-by-Step Tutorial,JavaScript Tools and Technologies,Project Setup and Configuration,Using Modern JavaScript Features,Utilizing Frontend and Backend Frameworks,Deployment and Hosting Strategies"
438,palantir/blueprint,"React-based UI toolkit,Web"
439,wesm/pydata-book,"Python for Data Analysis,Materials,IPython notebooks,Wes McKinney,O'Reilly Media"
440,nikitavoloboev/my-mac,"Productivity,Creativity,Development,Organization,Utilities"
441,quii/learn-go-with-tests,"Test-Driven Development,Go Programming Language,Software Testing,Software Development Lifecycle"
442,enzymejs/enzyme,JavaScript Testing utilities for React
443,shap/shap,"Game theory,Machine learning model output explanation"
444,typicode/lowdb,"Local JSON database,Native JavaScript API,TypeScript support,Compatibility: Node, Electron, Browser"
445,framer/motion,"Open source,Production-ready,Animation,Gesture library,React"
446,grafana/loki,"Prometheus,Logs"
447,openai/gpt-2,"Language Models,Unsupervised Multitask Learning,Transformer Language Model,Pre-training and Fine-tuning,Language Model Evaluation"
448,phoenixframework/phoenix,"Peace of mind,prototype,production process"
449,tipsy/profile-summary-for-github,"GitHub profiles visualization tool,GitHub data analysis,Repository metrics and insights,Profile comparison,Trending repositories and developers tracking"
450,processing/p5.js,"p5.js,client-side JS platform,empowering artists, designers, and students,learning to code,creative expression on the web,connection to Processing"
451,xi-editor/xi-editor,"Modern editor,Backend development,Rust programming language"
452,facebookarchive/pop,"iOS animation library,OS X animation library,physics-based interactions"
453,basarat/typescript-book,"TypeScript,Free and Open-Source Software"
454,graphql/graphql-js,"GraphQL,JavaScript,Reference Implementation"
455,alan2207/bulletproof-react,"React application architecture,Production readiness,Scalability,Simplicity,Powerful features"
456,kovidgoyal/kitty,"Cross-platform,Speed,Feature richness,GPU integration,Terminal interface"
457,gorilla/websocket,"WebSocket implementation,Go programming language,Gorilla/websocket package"
458,apache/rocketmq,"Apache RocketMQ,cloud native messaging,streaming platform,event-driven applications"
459,react-dnd/react-dnd,"React,Drag and Drop functionality,Event Handling,State Management,Performance Optimization,Accessibility Considerations"
460,afollestad/material-dialogs,"Kotlin,Android,Dialogs API,Fluid,Extensible"
461,s0md3v/roop,"One-click deepfake technology,Face swap,Synthetic media,AI-generated content,Facial recognition,Identity manipulation,Ethical considerations"
462,svg/svgo,⚙️ Node.js tool for optimizing SVG files
463,dgraph-io/dgraph,"High-performance database,Modern applications"
464,pubkey/rxdb,"Database,JavaScript,Offline-first,Reactive,Application Development"
465,pola-rs/polars,"multi-threaded query engine,hybrid-out-of-core technology,DataFrame integration"
466,dotnet/maui,".NET MAUI,Multi-platform App UI,native device applications,mobile,tablet,desktop"
467,monicahq/monica,"Personal CRM,Relationship Management,Memory Aid"
468,fingerprintjs/fingerprintjs,"Browser fingerprinting library,Fingerprint Identification Platform,Accuracy comparison"
469,segment-boneyard/nightmare,"Browser automation,Library for automation,High-level tools"
470,google/eng-practices,"Software Engineering Practices,Technical Guidance and Strategies,Engineering Productivity,Testing and Quality Assurance,Design Principles and Patterns,Code Health and Maintenance,Collaboration and Tools,Engineering Culture and Values"
471,uber-go/zap,"Logging in Go,Structured Logging,Leveled Logging,Performance"
472,charmbracelet/bubbletea,"TUI framework,software development,user interfaces,programming"
473,railsware/upterm,"terminal emulator,21st century"
474,microsoft/vcpkg,"C++ Library Manager,Windows,Linux,MacOS"
475,dennybritz/reinforcement-learning,"Reinforcement Learning Algorithms,Python,OpenAI Gym,Tensorflow,Exercises and Solutions,Sutton's Book,David Silver's course"
476,dotnet/core,".NET Core,Home repository,Repository structure,Contribution guidelines,Issue tracking,Community engagement,Release process,Documentation,Performance,Security"
477,openai/chatgpt-retrieval-plugin,"ChatGPT Retrieval Plugin,Document Search,Natural Language Questions"
478,medusajs/medusa,"Digital Commerce,Building Blocks,Customer Experience,Technology,Data,Security,Strategy"
479,plotly/dash,"Data Apps,Dashboards,Python,No JavaScript Required"
480,adobe-fonts/source-code-pro,"Monospaced font family,User interface design,Coding environments"
481,abhisheknaiidu/awesome-github-profile-readme,"GitHub Profile READMEs,Curated List,Awesome GitHub Profiles"
482,vbenjs/vue-vben-admin,"Vue admin,Vue3,vite,TypeScript"
483,t3-oss/create-t3-app,"Full-stack development,Typesafe programming,Next.js framework"
484,jsdom/jsdom,"JavaScript,Web Standards,Node.js"
485,fastai/fastbook,"fastai book,Jupyter Notebooks"
486,wenyan-lang/wenyan,"文言文編程語言,Ancient Chinese Programming Language,Natural Language Processing,Chinese Language and Culture,Software Development and Programming Languages"
487,spmallick/learnopencv,"OpenCV,C++,Python,Examples"
488,gorilla/mux,"HTTP router,URL matcher,Go web servers,gorilla/mux package"
489,vuejs/vue-router,"Vue 2 router,Official router for Vue 2"
490,jina-ai/jina,"Multimodal AI services,AI pipelines,Cloud-native technologies,gRPC,Kubernetes,Docker,OpenTelemetry,Prometheus,Jaeger"
491,enaqx/awesome-pentest,"Penetration Testing,Cyber Security Tools,Resources and Shiny Things"
492,reduxjs/reselect,"Selector library for Redux,Performance improvements,Memoization techniques,Scaling applications,Optimizing selector functions,Creating reusable selectors,Improving application performance"
493,jorgebucaran/hyperapp,"JavaScript framework,hypertext applications,small size (1kB-ish)"
494,saleor/saleor,"Saleor Core,High Performance,Composable,Headless Commerce,API"
495,oracle/graal,"GraalVM,Program Performance,Runtime Speed,Polyglot Programming,Compatibility,Efficiency"
496,apollographql/apollo-client,"Caching GraphQL client,UI framework compatibility,GraphQL server compatibility,Production readiness"
497,nginx/nginx,"read-only mirror of nginx source code,hourly updates,pull requests on GitHub are not accepted,instructions for submitting changes to nginx via development mailing list"
498,mybatis/mybatis-3,"MyBatis,SQL,Mapper,Framework,Java"
499,containers/podman,"Podman,Container Management,OCI Containers,Pods"
500,sqlitebrowser/sqlitebrowser,"DB Browser for SQLite (DB4S),SQLite Database Browser,Database Browser for SQLite"
501,d2l-ai/d2l-en,"Interactive deep learning book,Multi-framework code support,Mathematical content included,Discussion-oriented,Adopted by 500 universities worldwide,Used at top institutions like Stanford, MIT, Harvard, and Cambridge"
502,google/comprehensive-rust,"Rust course,Android team at Google,Teaching material for Rust"
503,apache/shardingsphere,"Distributed SQL transaction & query engine,Data sharding,Scaling,Encryption"
504,nrwl/nx,"Build System,Smart Builds,Fast Builds,Extensible Builds"
505,jbhuang0604/awesome-computer-vision,"Computer Vision,Awesome Lists,Resources,Deep Learning,Image Processing,Object Detection,Image Classification,Convolutional Neural Networks,Machine Learning,Computer Vision Tasks"
506,wekan/wekan,"Open Source kanban,Meteor framework,Translation process,Naming convention,Pull Requests"
507,elastic/kibana,"Elastic Stack,Kibana,Data visualization,Log management,Security analytics,Elastic Cloud,Elastic Observability,Elastic Security"
508,crystal-lang/crystal,"Introduction to Crystal Programming Language,Features of Crystal,Syntax and Structure,Performance and Efficiency,Community and Ecosystem,Use Cases and Applications,Development and Tools,Compatibility and Interoperability,Security and Reliability,Future Prospects and Updates"
509,eggjs/egg,"Node.js,Koa,Enterprise Frameworks,Application Development"
510,magenta/magenta,"Music and Art Generation,Machine Intelligence,Magenta Project,Creative Models,AI and Human Collaboration"
511,dylanaraps/neofetch,"Command-line tool,System information,Bash scripting"
512,square/picasso,"Image downloading,Caching,Android library"
513,spaceship-prompt/spaceship-prompt,"Zsh prompt,Minimalism,Power,Customizability"
514,toml-lang/toml,"Introduction and Overview,Problem Definition and Challenges,Proposed Solution and Approach,Experimental Results and Discussion,Conclusion and Future Work"
515,kamranahmedse/driver.js,"Light-weight,No-dependency,Vanilla JavaScript,Driving user focus"
516,valeriansaliou/sonic,"Search backend,Lightweight,Schema-less,Alternative to Elasticsearch,Memory efficient"
517,rough-stuff/rough,"Graphics creation,Hand-drawn style,Sketchy appearance"
518,lewagon/dotfiles,"Default configuration,Le Wagon's students,Settings,Environment,Shortcuts"
519,radareorg/radare2,"UNIX-like reverse engineering,command-line toolset"
520,hemanth/functional-programming-jargon,"Functional Programming Jargon,Simple Explanations,Pure Functions,Partial Application,Currying,Higher-Order Functions,Function Composition,Functors,Monoids,Type Classes"
521,google/web-starter-kit,"Web Starter Kit,Multi-Device Websites,Workflow"
522,svc-develop-team/so-vits-svc,"SoftVC,VITS,Singing Voice Conversion"
523,jcjohnson/neural-style,"Torch implementation,Neural style algorithm"
524,semantic-release/semantic-release,"version management,package publishing,automation"
525,thangchung/awesome-dotnet-core,".NET core libraries,tools,frameworks,software"
526,actix/actix-web,"Actix Web,Web Framework,Rust Programming Language,Performance,Pragmatism"
527,pyg-team/pytorch_geometric,"Graph Neural Network,PyTorch,Library,Machine Learning,Deep Learning"
528,aquasecurity/trivy,"vulnerabilities,misconfigurations,secrets,SBOM,containers,Kubernetes,code repositories,clouds"
529,eclipse-theia/theia,"Eclipse Theia,Cloud IDE,Desktop IDE,TypeScript"
530,zulip/zulip,"Zulip server,Web application,Open-source team chat,Productivity,Focus"
531,dandavison/delta,"Syntax highlighting,Pager functionality,Tools mentioned: git, diff, grep"
532,asdf-vm/asdf,"Version manager,Ruby,Node.js,Elixir,Erlang"
533,mifi/lossless-cut,"Video editing,Audio editing,Lossless editing"
534,nextauthjs/next-auth,Authentication for the Web
535,alibaba/weex,"Mobile cross-platform UI,Framework for building,User Interface design,Reusable components,Performance considerations"
536,bigskysoftware/htmx,"htmx,high-power tools,HTML"
537,mojs/mojs,"Motion Graphics,Web Design,Tools and Software,Animation,Interactive Content,Visual Effects,Web Technologies,User Experience,Creative Industries"
538,react-grid-layout/react-grid-layout,"Draggable,Resizable,Grid Layout,Responsive Breakpoints,React"
539,handsontable/handsontable,"JavaScript data grid,Spreadsheet look and feel,React support,Angular support,Vue support,Handsontable team support"
540,jaegertracing/jaeger,"CNCF Jaeger,Distributed Tracing,Tracing Platform"
541,testing-library/react-testing-library,"React DOM testing utilities,Encouraging good testing practices"
542,matomo-org/matomo,"Web analytics,Open-source software,Data control and visualisation,Privacy,Community contribution"
543,seaweedfs/seaweedfs,"SeaweedFS,distributed storage system,blobs,objects,files,data lake,blob store,disk seek,cloud tiering,Filer,Cloud Drive,active-active replication,Kubernetes,POSIX FUSE mount,S3 API,S3 Gateway,Hadoop,WebDAV,encryption,Erasure Coding"
544,tpope/vim-fugitive,"fugitive.vim,Git wrapper,awesome,illegal"
545,desktop/desktop,"Git productivity,Git user experience,Git efficiency"
546,uikit/uikit,"lightweight front-end framework,modular design,fast web interfaces,powerful web interfaces"
547,mysqljs/mysql,"Node.js JavaScript Client,MySQL protocol implementation"
548,yudai/gotty,"Terminal sharing,Web application,Application sharing"
549,knex/knex,"Query builder,Database compatibility: PostgreSQL, MySQL, CockroachDB, SQL Server, SQLite3, Oracle,Features: Flexibility, Portability, User-friendliness"
550,nosir/cleave.js,"Introduction to Large Language Models,LLM Capabilities and Applications,Safety and Ethical Considerations,The Future of LLMs and AI"
551,swoole/swoole-src,"Coroutine-based concurrency,PHP programming language,Library or framework for concurrency,Asynchronous programming"
552,facebook/relay,"JavaScript framework,Data-driven applications,React applications"
553,matplotlib/matplotlib,"matplotlib,plotting,Python"
554,iovisor/bcc,"BPF-based IO analysis,Networking,Monitoring,Linux"
555,web3/web3.js,"Ethereum,JavaScript,API"
556,bokeh/bokeh,"Interactive Data Visualization,Browser-based Visualization,Python Data Visualization"
557,basecamp/trix,"Rich text editor,Everyday writing,Text formatting,Ease of use,Accessibility"
558,redis/go-redis,"Redis Go client,Connection Management,Data Types and Operations,Pub/Sub Functionality,Pipelining and Transactions,Cluster Support,Custom Data Types,Security and Authentication,Performance Optimization,Monitoring and Debugging"
559,buger/goreplay,"GoReplay tool,HTTP traffic capture and replay,Continuous testing with real data,Code deployments and infrastructure changes confidence"
560,chaozh/awesome-blockchain-cn,"区块链(BlockChain)技术,Fabric开发,Ethereum开发"
561,usememos/memos,"Privacy-first approach,Lightweight nature,Note-taking functionality,Ease of capturing thoughts,Sharing capabilities"
562,koekeishiya/yabai,"Tiling window manager,macOS,Binary space partitioning"
563,facebook/hhvm,"Virtual Machine,Program Execution,Hack Programming Language"
564,reduxjs/redux-thunk,"Thunk middleware,Redux,Action Creators,Asynchronous Operations,Dispatching Actions,State Management"
565,openai-translator/openai-translator,"浏览器插件,跨平台桌面应用,翻译,ChatGPT API"
566,alibaba/ice,"ice.js,Progressive App Framework,React"
567,dotnet/roslyn,"Roslyn .NET compiler,C# language,Visual Basic language,Code analysis APIs"
568,ssloy/tinyrenderer,"Computer Graphics Overview,Rendering Techniques,Modelling and Animation,Lighting and Shading,Texture and Materials,Camera and Composition,Image and Video Processing,Special Effects,Performance Optimization,Interactive Graphics and VR"
569,gentilkiwi/mimikatz,"Windows security tools,Playing with security features,Exploring system vulnerabilities"
570,airyland/vux,"Mobile UI Components,Vue,WeUI"
571,tensorflow/tfjs,"WebGL accelerated JavaScript library,Training Machine Learning models,Deploying ML models"
572,mindsdb/mindsdb,"AI model integration,Database connectivity,MindsDB platform"
573,sindresorhus/quick-look-plugins,"Quick Look Plugins for Developers,QLStephen,QLColorCode,QLMarkdown,QLVideo,Quick Look File Management,BetterQuickLook,QuickLookCSV,QuickLookJSON,QuickLookAPL,QuickLookASE,QuickLookIPTC,QuickLookPLIST"
574,npm/npm,"Repository migration,New repository location: https://github.com/npm/cli"
575,immich-app/immich,"Self-hosted photo backup,Self-hosted video backup,Mobile phone integration"
576,zsh-users/zsh-syntax-highlighting,"Shell syntax highlighting,Fish shell,Zsh"
577,inancgumus/learngo,"Go programming language,Hand-crafted examples,Exercises,Quizzes,Learning by fixing programs"
578,fmtlib/fmt,"Modern formatting library,Formatting challenges,Consistent formatting,Automatic formatting,Customizable formatting rules"
579,dropzone/dropzone,"Drag and drop functionality,Image previews,Progress bars"
580,exelban/stats,"macOS,System Monitor,Menu Bar"
581,framework7io/framework7,"HTML framework,Building iOS apps,Building Android apps"
582,vim-airline/vim-airline,"lean and mean status/tabline for Vim,lightweight statusline,customization,performance"
583,handlebars-lang/handlebars.js,"Minimal templating,Stereotypes,Enhancements,Dynamic functionality"
584,amark/gun,"open source,cybersecurity,syncing decentralized graph data,decentralization,graph data"
585,sudheerj/javascript-interview-questions,"JavaScript Basics,JavaScript Functions,JavaScript Objects and Prototypes,JavaScript Asynchronous Programming,JavaScript Error Handling,JavaScript HTML DOM Manipulation,JavaScript Browser APIs,JavaScript Testing and Debugging,JavaScript Performance Optimization,JavaScript Design Patterns and Best Practices"
586,deepinsight/insightface,"2D Face Analysis,3D Face Analysis,State-of-the-art Techniques"
587,reactnativecn/react-native-guide,"React Native指南,react-native学习资源,开源App,组件"
588,cocos2d/cocos2d-x,"Cocos2d-x,open-source,cross-platform,game development tools,Cocos Creator 1.x,Cocos Creator 2.x"
589,huggingface/diffusers,"Diffusion models,Image and audio generation,PyTorch implementation,State-of-the-art performance,Text-to-image and text-to-audio synthesis"
590,sst/sst,"Modern full-stack application development,AWS ecosystem for full-stack development"
591,julianshapiro/velocity,"JavaScript animation,Acceleration techniques,Performance optimization,Web graphics,User experience improvement"
592,sanic-org/sanic,"Web app development acceleration,Building web apps rapidly,Optimizing web app performance"
